participant_id,story_id,authenticity_score,empathy_score,engagement_score,emotion_provoking_score,narrative_complexity_score,human_likeness_score
2,0,2,2,1,2,1,1
3,0,4,5,5,5,3,5
4,0,2,2,1,1,1,1
6,0,2,1,1,1,1,1
7,0,2,3,1,2,2,1
2,1,4,4,4,4,1,1
3,1,4,3,4,5,3,4
4,1,4,2,3,2,3,2
6,1,2,2,1,1,1,1
7,1,3,2,2,2,2,2
2,2,2,4,5,2,4,4
3,2,4,4,5,4,3,4
4,2,4,3,5,4,5,5
6,2,4,3,4,4,3,4
7,2,4,4,5,3,4,5
2,3,2,2,2,1,1,1
3,3,4,3,4,4,3,3
4,3,2,2,4,3,3,2
6,3,5,2,2,1,3,2
7,3,1,2,2,2,2,1
2,4,2,1,1,1,4,5
3,4,4,3,4,3,3,3
4,4,2,2,3,2,3,2
6,4,1,1,3,3,2,2
7,4,1,2,3,1,1,2
2,5,4,5,5,2,2,5
3,5,4,5,5,5,5,5
4,5,5,4,4,5,5,5
6,5,5,4,5,4,5,5
7,5,3,5,5,4,5,5
2,6,4,2,3,3,1,2
3,6,5,5,5,5,4,4
4,6,4,4,5,4,5,4
6,6,3,4,3,4,5,3
7,6,2,1,1,2,1,1
2,7,1,1,1,1,1,1
3,7,1,2,1,2,2,2
4,7,1,1,2,1,1,1
6,7,2,1,1,1,1,2
7,7,2,1,1,1,1,1
2,8,5,5,2,5,1,4
3,8,4,5,4,4,3,4
4,8,4,5,5,5,4,5
6,8,2,1,2,4,2,4
7,8,4,4,4,3,5,5
2,9,2,4,4,4,2,5
3,9,4,3,3,3,3,4
4,9,3,3,4,4,3,3
6,9,3,2,2,4,3,3
7,9,2,3,1,1,2,1
2,10,5,5,5,2,1,5
3,10,2,2,3,2,3,5
4,10,2,2,4,4,1,4
6,10,4,1,4,5,4,5
7,10,2,4,2,4,2,4
2,11,1,2,5,2,5,5
3,11,4,3,4,3,4,3
4,11,4,3,5,4,4,4
6,11,4,1,4,1,5,1
7,11,1,2,3,5,2,1
